City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Esperance,93,AU,1627922410,77,-33.8667,121.9,49.84,9.24
Castro,9,BR,1627922220,51,-24.7911,-50.0119,65.48,3.49
Ponta do Sol,21,PT,1627922411,73,32.6667,-17.1,81.01,4.09
Rudnogorsk,83,RU,1627922411,79,57.2639,103.7519,53.67,2.57
Saint-Joseph,28,RE,1627922412,76,-21.3667,55.6167,66.58,3.4
Ushuaia,40,AR,1627922236,53,-54.8,-68.3,46.06,4.61
Rikitea,71,PF,1627922223,56,-23.1203,-134.9692,68.61,23.13
Saint-Philippe,47,RE,1627922413,75,-21.3585,55.7679,67.59,5.5
Fairhope,1,US,1627922413,61,30.523,-87.9033,91.81,0.0
Albany,26,US,1627922312,67,42.6001,-73.9662,74.57,4.0
Saskylakh,43,RU,1627922414,74,71.9167,114.0833,62.11,6.78
Mezen',35,RU,1627922414,88,65.8522,44.24,61.99,5.28
Vaini,20,TO,1627922414,77,-21.2,-175.2,68.16,10.36
Maxixe,5,MZ,1627922415,74,-23.8597,35.3472,65.95,8.75
Port Alfred,75,ZA,1627922415,78,-33.5906,26.891,57.83,15.68
New Norfolk,99,AU,1627922415,80,-42.7826,147.0587,48.92,1.01
Mago,100,RU,1627922416,93,53.2514,140.1822,56.26,4.16
Cape Town,0,ZA,1627922100,74,-33.9258,18.4232,63.27,1.99
Nikolskoye,100,RU,1627922416,98,59.7035,30.7861,62.49,8.57
Bethel,1,US,1627922416,66,41.3712,-73.414,77.2,8.05
Saint Paul Harbor,90,US,1627922417,94,57.79,-152.4072,53.11,6.91
Cabo San Lucas,40,MX,1627922292,51,22.8909,-109.9124,92.8,0.0
Tres Palos,27,MX,1627922185,63,18.1833,-101.6167,84.81,3.09
Painesville,1,US,1627921958,66,41.7245,-81.2457,75.54,9.22
Provideniya,100,RU,1627922417,97,64.3833,-173.3,44.42,11.52
Bandarbeyla,22,SO,1627922417,76,9.4942,50.8122,78.21,33.51
Bluff,100,NZ,1627922418,67,-46.6,168.3333,44.8,12.57
São Filipe,60,CV,1627922418,78,14.8961,-24.4956,76.89,6.2
Barrow,90,US,1627922388,81,71.2906,-156.7887,44.62,10.36
Jamestown,40,US,1627922217,57,42.097,-79.2353,71.1,3.0
Thompson,20,CA,1627922419,60,55.7435,-97.8558,69.96,6.91
Klaksvík,100,FO,1627922419,83,62.2266,-6.589,50.92,11.36
Longyearbyen,75,SJ,1627922326,76,78.2186,15.6401,46.24,16.11
Hilo,90,US,1627922419,87,19.7297,-155.09,71.8,6.91
Ust-Maya,100,RU,1627922419,59,60.4167,134.5333,62.55,7.61
East London,20,ZA,1627922420,82,-33.0153,27.9116,58.14,5.75
Lębork,28,PL,1627922420,60,54.5392,17.7501,68.76,15.28
Hong Kong,100,HK,1627922378,85,22.2855,114.1577,86.38,5.99
Puerto Ayora,86,EC,1627922351,80,-0.7393,-90.3518,76.96,11.92
Hobart,100,AU,1627922420,79,-42.8794,147.3294,49.26,5.01
Plettenberg Bay,13,ZA,1627922378,89,-34.0527,23.3716,57.33,7.54
Busselton,91,AU,1627922421,74,-33.65,115.3333,45.09,5.44
Faya,100,SA,1627922421,66,18.3851,42.4509,71.71,4.97
Dikson,100,RU,1627922421,80,73.5069,80.5464,46.47,12.03
Qaanaaq,100,GL,1627922422,64,77.484,-69.3632,45.34,4.47
Pevek,95,RU,1627922422,91,69.7008,170.3133,32.47,20.67
Kaitangata,100,NZ,1627922422,68,-46.2817,169.8464,48.92,12.55
Constantine,40,DZ,1627922423,36,36.365,6.6147,94.41,17.27
Severo-Kuril'sk,89,RU,1627922423,86,50.6789,156.125,50.67,19.84
Lüderitz,0,NA,1627922423,37,-26.6481,15.1594,68.9,5.35
Punta Arenas,20,CL,1627922423,61,-53.15,-70.9167,44.71,25.32
Faanui,91,PF,1627922343,66,-16.4833,-151.75,79.59,12.66
Ponta Delgada,20,PT,1627922424,60,37.7333,-25.6667,75.92,8.05
Bredasdorp,38,ZA,1627922424,88,-34.5322,20.0403,58.32,10.36
Lebu,45,CL,1627922424,72,-37.6167,-73.65,55.85,20.56
Chui,31,UY,1627922425,74,-33.6971,-53.4616,58.68,6.73
Ancud,96,CL,1627922425,89,-41.8697,-73.8203,51.33,6.4
Carballo,55,ES,1627922425,73,43.213,-8.691,75.58,8.05
Birjand,20,IR,1627922426,9,32.8663,59.2211,82.87,11.5
Ballina,90,AU,1627922426,94,-28.8667,153.5667,64.36,8.05
Norman Wells,20,CA,1627922426,68,65.282,-126.8329,68.04,3.44
Misratah,0,LY,1627922426,47,32.3754,15.0925,89.6,10.76
Kapaa,90,US,1627922222,75,22.0752,-159.319,79.12,5.01
Patos,3,BR,1627922427,23,-7.0244,-37.28,94.86,14.83
Mar del Plata,0,AR,1627922242,42,-38.0023,-57.5575,58.08,17.0
Erzin,0,TR,1627922427,78,36.9559,36.2,91.92,2.86
Nome,90,US,1627922312,94,64.5011,-165.4064,56.16,12.66
Tiksi,27,RU,1627922428,68,71.6872,128.8694,47.26,2.19
Sinnamary,78,GF,1627922301,67,5.3833,-52.95,84.7,9.01
Khatanga,98,RU,1627922428,65,71.9667,102.5,62.96,10.16
Waipawa,100,NZ,1627922429,90,-41.4122,175.5153,48.83,3.98
Casper,1,US,1627922429,43,42.8666,-106.3131,79.02,1.99
Coquimbo,90,CL,1627922413,82,-29.9533,-71.3436,55.13,4.61
Saint-Augustin,80,CA,1627922429,71,51.226,-58.6502,65.39,14.29
Bilibino,100,RU,1627922429,83,68.0546,166.4372,34.45,11.43
Cherskiy,66,RU,1627922430,93,68.75,161.3,33.44,11.95
Valparaíso,0,CL,1627922363,67,-33.0393,-71.6273,64.63,6.91
Maceió,75,BR,1627922430,78,-9.6658,-35.7353,78.24,18.41
Hamilton,20,US,1627922428,60,39.1834,-84.5333,78.22,1.99
Banda Aceh,95,ID,1627922431,78,5.5577,95.3222,80.19,12.15
